object_id,timestamp,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,0
63347,2025-03-26 09:51:11.024496+00:00,-382.6294779540082,-6821.519214336824,-1087.7901233489367,-1.0807170596087614,-1.1263745648266457,7.430334273165991,
63347,2025-03-26 09:51:41.024496+00:00,-414.83775752118436,-6851.605126498042,-864.3287202151944,-1.066298576872571,-0.8791601075767338,7.465726491991581,
63347,2025-03-26 09:52:11.024496+00:00,-446.596084979629,-6874.259504861215,-639.9272564310266,-1.0507230740354132,-0.6309843998508138,7.492999688799758,
63347,2025-03-26 09:52:41.024496+00:00,-477.8700018400396,-6889.4575914447705,-414.8297810447826,-1.034007572157951,-0.382119523239288,7.5121234726257,
63347,2025-03-26 09:53:11.024496+00:00,-508.62557950661505,-6897.182803766006,-189.28111761566325,-1.0161703725267737,-0.1328383783775243,7.523076601992934,
63347,2025-03-26 07:38:11.024496+00:00,921.886928722063,5980.6140420233605,-3353.952821267053,0.5789822720055271,-3.7732168383190836,-6.560189780776951,
63347,2025-03-26 07:38:41.024496+00:00,938.754225239064,5864.199697186309,-3548.902277910529,0.5453970463345484,-3.987019816851737,-6.435246498505742,
63347,2025-03-26 07:39:11.024496+00:00,954.6050851498528,5741.435875775934,-3739.998553442527,0.5112260359793298,-4.196476158707694,-6.303334132406539,
63347,2025-03-26 07:39:41.024496+00:00,969.4224931574803,5612.456387261979,-3927.034743660704,0.4765065744653474,-4.401359286661166,-6.164598534972589,
63347,2025-03-26 07:40:11.024496+00:00,983.1905624957631,5477.401760259188,-4109.808430538402,0.4412765570748683,-4.601447879435768,-6.019192906918743,
63347,2025-03-26 07:40:41.024496+00:00,995.8945511166947,5336.419081337208,-4288.12189975291,0.4055743963369491,-4.796526105144331,-5.8672776011312715,
63347,2025-03-26 07:41:11.024496+00:00,1007.5208765395507,5189.661826955714,-4461.782352232695,0.36943897729530256,-4.9863838458054826,-5.709019919619217,
63347,2025-03-26 07:41:41.024496+00:00,1018.0571293554087,5037.289688802571,-4630.602109510775,0.3329096126359686,-5.170816912776063,-5.544593903987375,
63347,2025-03-26 07:42:11.024496+00:00,1027.4920853846545,4879.468392803916,-4794.39881270435,0.2960259977497222,-5.349627252996217,-5.374180119933775,
63347,2025-03-26 07:42:41.024496+00:00,1035.8157164861364,4716.369512086492,-4952.995614944783,0.25882816580282547,-5.522623145968981,-5.19796543627714,
63347,2025-03-26 07:43:11.024496+00:00,1043.019200019686,4548.170274166486,-5106.221367105595,0.22135644288327178,-5.689619391441577,-5.0161427990013925,
63347,2025-03-26 07:43:41.024496+00:00,1049.0949269648281,4375.05336264779,-5253.910796682025,0.18365140328758423,-5.850437487780265,-4.828911000800256,
